timestamp_current,timestamp_previous,strikePrice,expirationDate,Theo ES,call_vol_diff,put_vol_diff,call_premium_of_vol_diff,put_premium_of_vol_diff,call_vol_oi_ratio_current,put_vol_oi_ratio_current,call_vol_chng_pct,put_vol_chng_pct
2025-09-09T06:54:57,2025-09-09T06:54:00,5500.0,2025-09-25,5507.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5500.0,2025-09-26,5507.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5500.0,2025-09-29,5507.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-22,5532.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-23,5532.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-24,5532.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-25,5532.5,0,2,0.0,335.0,,0.037037037037037035,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-26,5532.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5525.0,2025-09-29,5532.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-22,5557.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-23,5557.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-24,5557.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-25,5557.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-26,5557.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5550.0,2025-09-29,5557.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-22,5582.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-23,5582.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-24,5582.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-25,5582.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-26,5582.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5575.0,2025-09-29,5582.5,0,0,0.0,0.0,,,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-22,5607.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-23,5607.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-24,5607.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-25,5607.5,0,5,0.0,987.5,,0.25,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-26,5607.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5600.0,2025-09-29,5607.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-22,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-23,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-24,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-25,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-26,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5625.0,2025-09-29,5632.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-22,5657.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-23,5657.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-24,5657.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-25,5657.5,0,0,0.0,0.0,,,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-26,5657.5,0,1,0.0,250.0,0.0,0.0025252525252525255,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5650.0,2025-09-29,5657.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-22,5682.5,0,2,0.0,295.0,,0.043478260869565216,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-23,5682.5,0,3,0.0,517.5000000000001,,0.6,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-24,5682.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-25,5682.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-26,5682.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5675.0,2025-09-29,5682.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-22,5707.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-23,5707.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-24,5707.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-25,5707.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-26,5707.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5700.0,2025-09-29,5707.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-22,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-23,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-24,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-25,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-26,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5725.0,2025-09-29,5732.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-22,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-23,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-24,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-25,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-26,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5750.0,2025-09-29,5757.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-22,5782.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-23,5782.5,0,100,0.0,21500.000000000004,,0.47393364928909953,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-24,5782.5,0,2,0.0,505.00000000000006,,0.05714285714285714,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-25,5782.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-26,5782.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5775.0,2025-09-29,5782.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-22,5807.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-23,5807.5,0,25,0.0,5749.999999999999,,0.21551724137931033,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-24,5807.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-25,5807.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-26,5807.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5800.0,2025-09-29,5807.5,0,1,0.0,405.0,,0.002331002331002331,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-22,5832.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-23,5832.5,0,100,0.0,24500.000000000004,,0.40160642570281124,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-24,5832.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-25,5832.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-26,5832.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5825.0,2025-09-29,5832.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5840.0,2025-09-26,5847.5,0,0,0.0,0.0,,,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-22,5857.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-23,5857.5,0,25,0.0,6499.999999999998,,0.1736111111111111,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-24,5857.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-25,5857.5,0,0,0.0,0.0,,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-26,5857.5,0,0,0.0,0.0,0.0,0.0,,
2025-09-09T06:54:57,2025-09-09T06:54:00,5850.0,2025-09-29,5857.5,0,0,0.0,0.0,,0.0,,
